A_ID_PERIODO,A_ID_PERIODO_FECHA,B_TARGET,A_PA_NPERIODOS_ANT,A_PA_NPERIODOS_POS,B_PA_DDM_EVER,B_PA_DDM_PROX12,B_PA_PERIODO_DQ90_EVER,D_CLI_PA_OPERACION_MIN,D_CLI_PA_PERIODO_ALTA_MIN,D_PA_OPERACION,D_PA_OPERACION_PRIMERA,D_PA_PERIODO_ALTA,I_CLI_CALIF,I_CLI_CALIF_CRC,I_CLI_OCUPACION,I_CLI_RIESGO,I_CLI_SEXO,I_PA_AREA,I_PA_PRODUCTO,I_PA_PRODUCTO_GRUPO,I_PA_SUCURSAL,N_CLI_EDAD,N_CLI_PA_ANTIG_TOTAL_MAX,N_CLI_PA_CUOTAS_MAX,N_CLI_PA_CUOTAS_PAGAS_EVER,N_CLI_PA_DDM_ACTUAL_MAX,N_CLI_PA_DDM_EVER_MAX,N_CLI_PA_DDM_ULT01a03_MAX,N_CLI_PA_MESES_DQ30_EVER_MAX,N_CLI_PA_MESES_SINPAGO_EVER_MAX,N_CLI_TC_DDM_ACTUAL_MAX,N_CLI_TC_DDM_EVER_MAX,N_CLI_TC_DDM_ULT01a03_MAX,N_PA_ANTIG,N_PA_CUOTAS,N_PA_DDM_ACTUAL,N_PA_DDM_EVER,N_PA_DDM_ULT01a03,N_PA_MESES_ALDIA_EVER,N_PA_MESES_CONPAGO_EVER,N_PA_MESES_DQ30_EVER,N_PA_MESES_SINPAGO_EVER,P_CLI_PA_CUOTA_SUM_v_INGRESO,P_CLI_PA_MONTO_NETO_SUM_v_INGRESO,P_CLI_PA_SALDO_SUM_v_INGRESO,P_CLI_TC_DEUDA_v_CREDITO,P_CLI_TC_FINANC1_v_DEUDA,P_PA_CUOTA_v_INGRESO,P_PA_CUOTA_v_MONTO_NETO,P_PA_CUOTA_v_SALDO,P_PA_MONTO_NETO_v_INGRESO,P_PA_SALDO_v_INGRESO,P_PA_SALDO_v_MONTO_NETO,PN_PA_ANTIG_v_CUOTAS,PN_PA_CUOTAS_CLIENTE,PN_PA_DDM_ACTUAL_CLIENTE,PN_PA_DDM_EVER_CLIENTE,PN_PA_DDM_ULT01a03_CLIENTE,PN_PA_MESES_ALDIA_EVER_v_ANTIG,PN_PA_MESES_CONPAGO_EVER_v_ANTIG,PN_PA_MESES_DQ30_v_SINPAGO_EVER,PV_PA_MONTO_NETO_CLIENTE,PV_PA_SALDO_CLIENTE,V_CLI_INGRESO,V_CLI_PA_CUOTA_SUM,V_CLI_PA_MONTO_NETO_SUM,V_CLI_PA_SALDO_SUM,V_CLI_TC_CREDITO_LINEA_SUM,V_CLI_TC_DEUDA_SUM,V_CLI_TC_FINANC1_SUM,V_PA_CUOTA,V_PA_MONTO_NETO,V_PA_SALDO
201302,28/02/2013,0,3,14,33,5, ,21/11/2012,201211,21/11/2012,23/05/2007,201211,20,1,EMPL.FIRMA PARTICULAR,F,M,FA,1,1,22,44,69,18,81,2,-26,-26, ,1,0,0,0,3,18,2,-26,-26,3,2,0,1,8.183414625,115.5977571,105.2157358,60.16785714,0,8.183414625,7.079215746,7.777747846,115.5977571,105.2157358,91.01883843,16.66666667,100,100,100,100,100,66.66666667,0,100,100,1658232,135700,1916879,1744721,1400000,842350,0,135700,1916879,1744721
201303,31/03/2013,0,4,13,33,33, ,21/11/2012,201211,21/11/2012,23/05/2007,201211,20,1,EMPL.FIRMA PARTICULAR,F,M,FA,1,1,22,44,70,18,81,5,2,2, ,2,0,0,0,4,18,5,2,2,4,2,0,2,8.183414625,115.5977571,99.86503698,28.73135714,0.957142395,8.183414625,7.079215746,8.194474135,115.5977571,99.86503698,86.39011643,22.22222222,100,100,100,100,100,50,0,100,100,1658232,135700,1916879,1655994,1400000,402239,3850,135700,1916879,1655994
201304,30/04/2013,0,5,12,33,33, ,21/11/2012,201211,21/11/2012,23/05/2007,201211,20,1,EMPL.FIRMA PARTICULAR,F,M,FA,1,1,22,44,71,18,81,-26,5,5, ,2,0,0,0,5,18,-26,5,5,5,3,0,2,8.183414625,115.5977571,88.46036019,40.90735714,70.23518298,8.183414625,7.079215746,9.250939751,115.5977571,88.46036019,76.52428766,27.77777778,100,100,100,100,100,60,0,100,100,1658232,135700,1916879,1466878,1400000,572703,402239,135700,1916879,1466878
201303,31/03/2013,0,0,3,-5,-5, ,05/03/2013,201303,05/03/2013,30/12/2010,201303,10,1,EMPL.FIRMA ESTATAL,G,M,OI,1,1,32,41,27,12,50,-35, , , ,0, , , ,0,12,-35, , ,0,0,0,0,6.549007592,66.46835716,61.72194092, , ,6.549007592,9.852820005,10.6105017,66.46835716,61.72194092,92.85913411,0,100,100, , , , ,0,100,100,5110698,334700,3396997,3154422, , , ,334700,3396997,3154422
201304,30/04/2013,0,1,2,-5,-5, ,05/03/2013,201303,05/03/2013,30/12/2010,201303,10,1,EMPL.FIRMA ESTATAL,G,M,OI,1,1,32,41,28,12,50,-5,-35,-35, ,1, , , ,1,12,-5,-35,-35,1,0,0,1,6.549007592,66.46835716,61.72194092, , ,6.549007592,9.852820005,10.6105017,66.46835716,61.72194092,92.85913411,8.333333333,100,100,100,100,100,0,0,100,100,5110698,334700,3396997,3154422, , , ,334700,3396997,3154422
201302,28/02/2013,0,16,1,-10,-10, ,19/10/2011,201110,19/10/2011,10/08/2009,201110,10,1,EMPL.FIRMA PARTICULAR,G,M,FA,1,1,22,31,42,18,57,-10,-10,-10, ,1,0,0,0,16,18,-10,-10,-10,16,15,0,1,22.87375952,328.9562015,44.13990322,0,0,22.87375952,6.953436176,51.82104593,328.9562015,44.13990322,13.41817027,88.88888889,100,100,100,100,100,93.75,0,100,100,1658232,379300,5454857,731942,1237527,0,0,379300,5454857,731942
201302,28/02/2013,0,1,10,5,5, ,31/01/2013,201301,31/01/2013,02/11/2010,201301,10,1,EMPL.FIRMA PARTICULAR,E,M,OI,1,1,37,28,27,24,38,-26,-26,-26, ,1, , , ,1,24,-26,-26,-26,1,0,0,1,18.67567655,332.1100127,320.8036064, , ,18.67567655,5.623340411,5.82152949,332.1100127,320.8036064,96.59558404,4.166666667,100,100,100,100,100,0,0,100,100,2715832,507200,9019550,8712487, , , ,507200,9019550,8712487
201303,31/03/2013,0,2,9,5,5, ,31/01/2013,201301,31/01/2013,02/11/2010,201301,10,1,EMPL.FIRMA PARTICULAR,E,M,OI,1,1,37,28,28,24,38,-26,-26,-26, ,1, , , ,2,24,-26,-26,-26,2,1,0,1,18.67567655,332.1100127,309.7939048, , ,18.67567655,5.623340411,6.028419625,332.1100127,309.7939048,93.28050734,8.333333333,100,100,100,100,100,50,0,100,100,2715832,507200,9019550,8413482, , , ,507200,9019550,8413482
201304,30/04/2013,0,3,8,5,5, ,31/01/2013,201301,31/01/2013,02/11/2010,201301,10,1,EMPL.FIRMA PARTICULAR,E,M,OI,1,1,37,28,29,24,38,-26,-26,-26, ,1, , , ,3,24,-26,-26,-26,3,2,0,1,18.67567655,332.1100127,299.3142801, , ,18.67567655,5.623340411,6.239487319,332.1100127,299.3142801,90.1250395,12.5,100,100,100,100,100,66.66666667,0,100,100,2715832,507200,9019550,8128873, , , ,507200,9019550,8128873
201302,28/02/2013,0,9,8,53,53, ,10/05/2012,201205,10/05/2012,10/05/2012,201205,0,1,EMPL.FIRMA PARTICULAR,B,M,FA,1,1,13,26,9,18,18,-8,-8,-8, ,3, , , ,9,18,-8,-8,-8,9,6,0,3,8.901046416,127.6628964,70.97655817, , ,8.901046416,6.972304928,12.54082566,127.6628964,70.97655817,55.59685717,50,100,100,100,100,100,66.66666667,0,100,100,1658232,147600,2116947,1176956, , , ,147600,2116947,1176956
